_id,contact,dob,emergency_contact,emergency_name,expiration_date,issuer,name,recovery.date,recovery.uci_swab,revoked,surname,tax_code,test.datetime,test.place.address,test.place.authorized_by,test.place.building_name,test.place.city,test.place.gps,test.place.region,test.place.type,test.result,test.sanitary_operator.contact,test.sanitary_operator.name,test.sanitary_operator.surname,test.sanitary_operator.tax_code,test.sanitary_operator.type,test.type,uci,valid_from
61b4ddb2be981d4eab799b61,+399972426371,1943-12-16T00:00:00.000Z,+396999891628,Joel Pinna,2021-03-22T00:00:00.000Z,Italian Ministry of Health,Fides,2020-09-09T00:00:00.000Z,01ITA797891BBF264E88B9BB8E114204U5A,false,Pinna,PNNFDS43T56H661K,,,,,,,,,,,,,,,,01ITA797891BBF264E88B9BB8E236694N9D,2020-09-23T00:00:00.000Z
61b4ddb2be981d4eab799b62,+399972426371,1943-12-16T00:00:00.000Z,+396999891628,Joel Pinna,,Italian Ministry of Health,Fides,,,false,Pinna,PNNFDS43T56H661K,2020-09-09T00:00:00.000Z,"Viale Montenero, 37",61b4dd99be981d4eab799b60,ISTITUTO DI RIABILITAZIONE CAS,Bergamo,"-35.64127714593412,-16.39411510417986",Lombardia,Territorial,Positive,+394685127780,Stefania,Giuliani,GLNSFN35R45F635H,Nurse,Molecular,01ITA797891BBF264E88B9BB8E940967D9P,
61b4ddb2be981d4eab799b63,+399972426371,1943-12-16T00:00:00.000Z,+396999891628,Joel Pinna,2020-09-26T00:00:00.000Z,Italian Ministry of Health,Fides,,,false,Pinna,PNNFDS43T56H661K,2020-09-23T00:00:00.000Z,"Via Washington, 98",61b4dd99be981d4eab799b5f,IST. LA NOSTRA FAMIGLIA - VEDA,Milano,"-38.46422891716006,-57.71082973549868",Lombardia,Territorial,Negative,+390564765128,Fabiana,Cossu,CSSFBN37H43H848O,Nurse,Molecular,01ITA797891BBF264E88B9BB8E114204U5A,2020-09-23T00:00:00.000Z
61b4ddb2be981d4eab799b64,+390833578534,1991-01-20T00:00:00.000Z,+397258955698,Serafina Mazzocchi,2021-01-28T00:00:00.000Z,Italian Ministry of Health,Doina Tamara,2020-07-17T00:00:00.000Z,01ITA797891BBF264E88B9BB8E873665S4G,false,Mazzocchi,MZZDTM91A60B479H,,,,,,,,,,,,,,,,01ITA797891BBF264E88B9BB8E120450A3O,2020-08-01T00:00:00.000Z
61b4ddb2be981d4eab799b65,+390833578534,1991-01-20T00:00:00.000Z,+397258955698,Serafina Mazzocchi,,Italian Ministry of Health,Doina Tamara,,,false,Mazzocchi,MZZDTM91A60B479H,2020-07-17T00:00:00.000Z,"Via Bergognone, 31",61b4dd99be981d4eab799b60,CENTRO DI RIABIL. S.VINCENZO -,Bergamo,"23.416682869322173,-88.60699113062299",Lombardia,Territorial,Positive,+392312419617,Halima,Rizzo,RZZHLM39R67F221I,Nurse,Molecular,01ITA797891BBF264E88B9BB8E579907G2N,
61b4ddb2be981d4eab799b66,+390833578534,1991-01-20T00:00:00.000Z,+397258955698,Serafina Mazzocchi,2020-08-04T00:00:00.000Z,Italian Ministry of Health,Doina Tamara,,,false,Mazzocchi,MZZDTM91A60B479H,2020-08-01T00:00:00.000Z,"Via Sarpi, 53",61b4dd99be981d4eab799b60,FOND. OSP. G.ARAGONA-S.GIOVANN,Bergamo,"-28.01878959453603,2.3234674776692543",Lombardia,Territorial,Negative,+398205979588,Orietta,Izzo,ZZIRTT69T46A265Q,Nurse,Molecular,01ITA797891BBF264E88B9BB8E873665S4G,2020-08-01T00:00:00.000Z
61b4ddb2be981d4eab799b67,+397412517274,1965-06-13T00:00:00.000Z,+395404555890,Paolo Rossi,2021-05-01T00:00:00.000Z,Italian Ministry of Health,Giancarlo Lorenzo,2020-10-18T00:00:00.000Z,01ITA797891BBF264E88B9BB8E616078Z4K,false,Rossi,RSSGCR65H13C107A,,,,,,,,,,,,,,,,01ITA797891BBF264E88B9BB8E626924F0O,2020-11-02T00:00:00.000Z
61b4ddb2be981d4eab799b68,+397412517274,1965-06-13T00:00:00.000Z,+395404555890,Paolo Rossi,,Italian Ministry of Health,Giancarlo Lorenzo,,,false,Rossi,RSSGCR65H13C107A,2020-10-18T00:00:00.000Z,"Via Delle Ande, 5",61b4dd99be981d4eab799b60,CENTRO RADIOLOGIA E FISIOTERAP,Bergamo,"-84.41576867548322,12.753189518669416",Lombardia,Territorial,Positive,+392716726069,Rita,Ricci,RCCRTI59S49F347Q,Nurse,Molecular,01ITA797891BBF264E88B9BB8E726906A0E,
61b4ddb2be981d4eab799b69,+397412517274,1965-06-13T00:00:00.000Z,+395404555890,Paolo Rossi,2020-11-05T00:00:00.000Z,Italian Ministry of Health,Giancarlo Lorenzo,,,false,Rossi,RSSGCR65H13C107A,2020-11-02T00:00:00.000Z,"Via Forze Armate, 212",61b4dd99be981d4eab799b60,LA NOSTRA FAMIGLIA - CARATE BR,Bergamo,"47.01597639255169,115.41477862944515",Lombardia,Territorial,Negative,+397709989736,Nadia,Scalise,SCLNDA80L56I982T,Nurse,Molecular,01ITA797891BBF264E88B9BB8E616078Z4K,2020-11-02T00:00:00.000Z
61b4ddb2be981d4eab799b6a,+392976829073,1923-12-31T00:00:00.000Z,+392258205560,Robertino Monti,2021-05-13T00:00:00.000Z,Italian Ministry of Health,Carmine,2020-10-29T00:00:00.000Z,01ITA797891BBF264E88B9BB8E389050P6I,false,Monti,MNTCMN23T31D847Q,,,,,,,,,,,,,,,,01ITA797891BBF264E88B9BB8E188445B2X,2020-11-14T00:00:00.000Z
